Scer1	Scer2	Cgla1	Cgla2	Klac	Calb	n.NAs
YDR180W	NA	CAGL0F05797g	NA	KLLA0D18194g	orf19.3080	2
YDR181C	NA	CAGL0F05775g	NA	KLLA0D18216g	orf19.3084	2
YIL166C	NA	NA	NA	NA	orf19.6520	4
YDR182W	NA	CAGL0F05753g	NA	KLLA0D18238g	orf19.3083	2
YDR183W	NA	CAGL0F05731g	NA	KLLA0D18282g	NA	3
YCR105W	NA	NA	NA	NA	orf19.5517	4
YER066W	NA	NA	NA	NA	NA	5
YOL152W	NA	NA	NA	NA	orf19.7077	4
YBR294W	NA	NA	NA	NA	orf19.2738	4
YDR184C	NA	CAGL0F05709g	NA	KLLA0D18326g	orf19.3088	2
YOR012W	NA	NA	NA	KLLA0C16511g	NA	4
YBR295W	NA	NA	NA	NA	NA	5
YFL050C	NA	NA	NA	NA	NA	5
YGL258W	NA	NA	NA	NA	NA	5
YER187W	NA	NA	NA	NA	NA	5
YDR185C	YLR168C	CAGL0G08195g	NA	KLLA0D18348g	NA	2
YPL036W	NA	NA	NA	NA	NA	5
YDR314C	NA	CAGL0H07293g	NA	NA	orf19.1310	3
YAL005C	NA	NA	NA	NA	NA	5
YDR186C	NA	CAGL0F05687g	NA	KLLA0D18392g	NA	3
YMR018W	NA	NA	NA	NA	NA	5
YMR017W	NA	NA	NA	NA	NA	5
YCR106W	NA	NA	NA	NA	NA	5
YPL258C	NA	NA	NA	NA	NA	5
YGL157W	NA	CAGL0E05170g	NA	NA	NA	4
YBL101C	YPR030W	CAGL0M09449g	CAGL0K05247g	KLLA0E06557g	orf19.4887	0
YDR188W	NA	CAGL0G08272g	NA	KLLA0D18458g	orf19.3126	2
YMR316W	NA	NA	NA	NA	NA	5
YOR385W	NA	NA	NA	NA	NA	5
YPL264C	NA	NA	NA	NA	orf19.2204	4
YEL071W	NA	NA	NA	NA	NA	5
YIL013C	YOR011W	CAGL0F01419g	NA	NA	NA	3
YIR028W	NA	NA	NA	NA	orf19.313	4
YDR189W	NA	CAGL0F05665g	NA	KLLA0D18480g	orf19.3128	2
YIR031C	NA	NA	NA	NA	NA	5
YHR209W	NA	NA	NA	NA	NA	5
YCL049C	NA	CAGL0A02277g	NA	NA	NA	4
YDR190C	NA	CAGL0F05643g	NA	KLLA0D18502g	orf19.3129	2
YDR191W	NA	CAGL0F05621g	NA	KLLA0D18535g	NA	3
YDR192C	NA	CAGL0F05599g	NA	Klac_YGOB_Anc_8.398	orf19.5930	2
YKL023W	NA	CAGL0L09845g	NA	KLLA0E08031g	NA	3
YDR194C	NA	CAGL0F05577g	NA	KLLA0D18667g	orf19.4739	2
YDR195W	NA	CAGL0G08382g	NA	KLLA0D18689g	NA	3
YDR196C	NA	CAGL0F05555g	NA	KLLA0D18711g	orf19.4005	2
YDR197W	NA	CAGL0F05533g	NA	KLLA0D18733g	NA	3
YDR198C	NA	CAGL0F05511g	NA	KLLA0D18755g	orf19.4007	2
YBL099W	NA	CAGL0M09581g	NA	KLLA0E06667g	orf19.6854	2
YDR200C	YLR238W	CAGL0F05489g	CAGL0G08426g	KLLA0D18799g	orf19.4471	0
YDR201W	NA	CAGL0F05467g	NA	KLLA0D18821g	orf19.4473	2
YDR202C	NA	CAGL0F05445g	NA	KLLA0D18843g	orf19.5559	2
YDR204W	NA	CAGL0F05423g	NA	KLLA0D18865g	orf19.3008	2
YAR027W	NA	NA	NA	NA	NA	5
YDR205W	NA	CAGL0F05401g	NA	KLLA0F20746g	orf19.3132	2
YDR206W	YLR233C	CAGL0F05379g	CAGL0G08492g	KLLA0F20702g	orf19.4045	0
YDR207C	NA	CAGL0F05357g	NA	KLLA0F20680g	orf19.2745	2
YDR208W	NA	CAGL0F05335g	NA	KLLA0A04301g	orf19.3153	2
YDR210W	NA	CAGL0F05329g	NA	Klac_YGOB_Anc_8.419	NA	3
YBL098W	NA	NA	NA	NA	orf19.5443	4
YDR211W	NA	CAGL0C01221g	NA	KLLA0A04235g	orf19.407	2
YDR212W	NA	CAGL0F07887g	NA	KLLA0A04191g	orf19.401	2
YDR213W	YLR228C	CAGL0C01199g	CAGL0F07865g	KLLA0A04169g	orf19.391	0
YDR214W	NA	CAGL0E04906g	NA	KLLA0A04147g	orf19.7602	2
YDR216W	NA	CAGL0E04884g	NA	KLLA0F13046g	orf19.2752	2
YDR217C	NA	CAGL0E04862g	NA	KLLA0F13068g	orf19.4275	2
YJR076C	NA	CAGL0F00275g	NA	KLLA0B14344g	orf19.5691	2
YDR219C	NA	CAGL0E04818g	NA	KLLA0F13156g	NA	3
YDR221W	NA	CAGL0E04796g	NA	KLLA0F13178g	orf19.3286	2
YDR222W	YLR225C	CAGL0E04774g	NA	KLLA0F13200g	NA	2
YBL097W	NA	CAGL0M09559g	NA	KLLA0E06733g	orf19.1251	2
YDR223W	YLR223C	CAGL0C00759g	NA	KLLA0F13222g	NA	2
YDR224C	NA	CAGL0K11462g	NA	KLLA0F13310g	orf19.6925	2
YDR225W	NA	CAGL0K11440g	NA	KLLA0F13332g	orf19.1051	2
YDR226W	NA	CAGL0K11418g	NA	KLLA0F13376g	orf19.3391	2
YDR227W	NA	CAGL0K11396g	NA	KLLA0F13398g	NA	3
YDR228C	NA	CAGL0K11374g	NA	KLLA0F13442g	orf19.684	2
YDR229W	NA	CAGL0K11363g	NA	KLLA0C14971g	NA	3
YDR231C	NA	CAGL0K11341g	NA	KLLA0C15015g	orf19.6461	2
YDR232W	NA	CAGL0B02607g	NA	KLLA0C15059g	orf19.2601	2
YDR234W	NA	CAGL0K10978g	NA	KLLA0C15125g	orf19.3846	2
YBL095W	NA	CAGL0M09537g	NA	KLLA0E06777g	orf19.3548	2
YDR235W	NA	CAGL0K11000g	NA	KLLA0C15169g	orf19.4374	2
YDR236C	NA	CAGL0K11022g	NA	KLLA0C15213g	orf19.4373	2
YDR237W	NA	CAGL0K11044g	NA	KLLA0C15257g	orf19.2214	2
YDR238C	NA	CAGL0K11088g	NA	KLLA0C15279g	orf19.528	2
YDR239C	NA	CAGL0K11110g	NA	KLLA0C15301g	NA	3
YDR240C	NA	CAGL0K11132g	NA	KLLA0C15323g	NA	3
YDR242W	NA	NA	NA	NA	orf19.5536	4
YDR243C	NA	CAGL0K11198g	NA	KLLA0C15433g	orf19.672	2
YDR244W	NA	CAGL0K11209g	CAGL0J09570g	KLLA0C15455g	orf19.5640	1
YDR245W	NA	CAGL0K11231g	NA	KLLA0C15477g	orf19.5658	2
YBL093C	NA	CAGL0M09515g	NA	KLLA0E06821g	orf19.3421.1	2
YDR246W	NA	CAGL0K11253g	NA	KLLA0D12144g	orf19.3673	2
YDR247W	YPL026C	CAGL0I05390g	CAGL0K11275g	KLLA0D12100g	NA	1
YDR248C	NA	CAGL0K11297g	NA	KLLA0D12078g	orf19.4520	2
YDR249C	NA	CAGL0K11319g	NA	KLLA0D11968g	NA	3
YDR251W	YPL032C	CAGL0L12452g	CAGL0B02629g	KLLA0D11946g	NA	1
YDR252W	YPL037C	CAGL0L12540g	NA	KLLA0D11924g	NA	2
YDR253C	YPL038W	CAGL0L12562g	CAGL0B02651g	KLLA0D11902g	orf19.1757	0
YDR254W	NA	CAGL0B02673g	NA	KLLA0D11770g	orf19.6851	2
YDR255C	NA	CAGL0B02695g	NA	KLLA0D11704g	orf19.6850	2
YDR256C	NA	CAGL0K10868g	NA	KLLA0D11660g	orf19.6229	2
YBL092W	NA	CAGL0H04521g	NA	KLLA0E06843g	orf19.3415.1	2
YDR257C	NA	CAGL0M08844g	NA	KLLA0A07084g	orf19.2654	2
YDR258C	NA	CAGL0M08822g	NA	KLLA0E16897g	orf19.882	2
YDR259C	YOR028C	NA	CAGL0M08800g	KLLA0E16875g	NA	2
YDR260C	NA	CAGL0M08778g	NA	KLLA0E16853g	NA	3
YDR261C	NA	CAGL0M08756g	NA	NA	orf19.2952	3
YDR262W	NA	CAGL0M08734g	NA	KLLA0E16787g	orf19.3004	2
YDR263C	YOR033C	CAGL0H08085g	NA	KLLA0E16743g	NA	2
YDR264C	YOR034C	CAGL0M08712g	NA	KLLA0E16721g	orf19.4950	1
YDR265W	NA	CAGL0M08690g	NA	KLLA0E16677g	orf19.5660	2
YDR266C	NA	CAGL0M08668g	NA	KLLA0E16655g	orf19.3449	2
YBL091C-A	YER120W	CAGL0G03663g	CAGL0H04543g	KLLA0E06865g	NA	1
YDR267C	NA	CAGL0M08646g	NA	KLLA0E21781g	orf19.4293	2
YDR268W	NA	CAGL0M08624g	NA	KLLA0E21825g	orf19.4299	2
YDR272W	YOR040W	CAGL0I00924g	NA	KLLA0F16016g	orf19.4088	1
YDR273W	YOR042W	CAGL0L09933g	CAGL0M08580g	KLLA0F15994g	NA	1
YDR276C	NA	CAGL0M08552g	NA	Klac_YGOB_Anc_5.642	orf19.1655.3	2
YDR277C	YOR047C	CAGL0L10043g	NA	KLLA0F15928g	orf19.6173	1
YDR279W	NA	CAGL0H01023g	NA	KLLA0C11077g	orf19.4080	2
YDR280W	NA	CAGL0J00275g	NA	KLLA0C11099g	orf19.4078	2
YDR281C	NA	NA	NA	NA	NA	5
YAL058W	NA	CAGL0D00242g	NA	KLLA0F00462g	orf19.5300	2
YBL091C	NA	CAGL0G03641g	NA	KLLA0E06887g	orf19.1214	2
YDR282C	NA	CAGL0H01045g	NA	KLLA0C11165g	orf19.1617	2
YDR283C	NA	CAGL0H01199g	NA	KLLA0C10802g	orf19.6913	2
YDR284C	NA	CAGL0H01177g	NA	KLLA0C10835g	orf19.6459	2
YDR285W	NA	CAGL0H01144g	NA	KLLA0C10879g	NA	3
YDR286C	NA	CAGL0H01111g	NA	KLLA0C10901g	orf19.319	2
YDR287W	NA	CAGL0H01089g	NA	NA	NA	4
YDR288W	NA	CAGL0H01067g	NA	KLLA0D08734g	orf19.2673	2
YDR289C	NA	CAGL0H01221g	NA	KLLA0C10758g	orf19.7662	2
YDR291W	NA	CAGL0H01243g	NA	KLLA0C10736g	orf19.7213	2
YDR292C	NA	CAGL0H01265g	NA	KLLA0C10714g	orf19.3952	2
YBL090W	NA	CAGL0H04565g	NA	KLLA0E06909g	orf19.2852	2
YDR293C	NA	CAGL0H01287g	NA	KLLA0C10571g	orf19.3959	2
YDR294C	NA	CAGL0H01309g	NA	KLLA0C10505g	orf19.6951	2
YDR295C	NA	CAGL0H01331g	NA	KLLA0C10483g	orf19.6952	2
YDR296W	NA	CAGL0H01353g	NA	KLLA0C10439g	orf19.439	2
YDR297W	NA	CAGL0H01375g	NA	KLLA0C10406g	orf19.5818	2
YDR298C	NA	CAGL0H01397g	NA	KLLA0C10384g	orf19.5419	2
YDR299W	NA	CAGL0H01419g	NA	KLLA0C10362g	orf19.7624	2
YDR300C	YHR033W	CAGL0H01441g	CAGL0D03894g	KLLA0C10296g	orf19.7638	0
YDR301W	NA	CAGL0H01463g	NA	KLLA0C10274g	orf19.2760	2
YDR302W	NA	CAGL0H01485g	NA	KLLA0C10252g	orf19.2761	2
YBL089W	YER119C	CAGL0G03619g	CAGL0H04587g	KLLA0E06931g	NA	1
YDR303C	YHR056C	CAGL0H01507g	CAGL0D03850g	NA	NA	2
YDR304C	YHR057C	CAGL0H01529g	NA	KLLA0C10208g	orf19.7421	1
YDR305C	NA	CAGL0G04147g	NA	KLLA0C10142g	orf19.7419	2
YDR306C	NA	CAGL0G04169g	NA	KLLA0C10120g	orf19.432	2
YDR307W	NA	CAGL0J11044g	NA	KLLA0C14828g	orf19.7549	2
YDR308C	NA	CAGL0J11022g	NA	KLLA0C14806g	orf19.7548	2
YDR309C	YHR061C	CAGL0D03762g	CAGL0J10978g	KLLA0C14762g	NA	1
YDR310C	NA	CAGL0J10956g	NA	KLLA0C14696g	NA	3
YDR311W	NA	CAGL0J10934g	NA	KLLA0C14630g	orf19.5297	2
YDR312W	YHR066W	CAGL0J10890g	NA	KLLA0C14586g	NA	2
YBL088C	NA	CAGL0H04609g	NA	KLLA0E06975g	orf19.5580	2
YDR313C	NA	CAGL0H07315g	NA	KLLA0C14542g	orf19.7547	2
YER162C	NA	NA	CAGL0L11726g	KLLA0F14465g	orf19.6722	2
YDR315C	NA	CAGL0H07271g	NA	KLLA0E12673g	orf19.1439	2
YDR316W	NA	CAGL0H07227g	NA	KLLA0E12717g	orf19.1300	2
YDR317W	NA	CAGL0H07161g	NA	KLLA0B10120g	NA	3
YDR318W	NA	CAGL0H07139g	NA	KLLA0B10142g	orf19.3494	2
YDR319C	NA	CAGL0H07117g	NA	KLLA0B10153g	orf19.1158	2
YDR320C	NA	CAGL0H07095g	NA	KLLA0B10197g	orf19.593	2
YDR320C-A	NA	CAGL0H07073g	NA	KLLA0C16775g	orf19.596.2	2
YDR321W	NA	CAGL0H07051g	NA	KLLA0D12980g	orf19.7593	2
YBL087C	YER117W	CAGL0G03575g	NA	KLLA0E06997g	NA	2
YDR322W	NA	CAGL0H07029g	NA	KLLA0D13090g	orf19.863	2
YDR322C-A	NA	CAGL0H07023g	NA	KLLA0D13112g	orf19.5660.1	2
YDR323C	NA	CAGL0M01452g	NA	KLLA0D13178g	orf19.5662	2
YDR324C	NA	CAGL0M01430g	NA	KLLA0D13222g	orf19.1633	2
YDR325W	NA	CAGL0M01408g	NA	KLLA0D13244g	orf19.1622	2
YDR326C	YHR080C	CAGL0M01386g	CAGL0F03267g	KLLA0E16919g	orf19.4423	0
YDR328C	NA	CAGL0M01364g	NA	KLLA0E16941g	orf19.4427	2
YDR329C	NA	CAGL0M01342g	NA	KLLA0E16963g	orf19.4426	2
YDR330W	NA	CAGL0M01320g	NA	KLLA0E17029g	orf19.4430	2
YDR331W	NA	CAGL0M01298g	NA	KLLA0E17051g	orf19.2799	2
YBL086C	NA	CAGL0C01815g	NA	KLLA0E20923g	orf19.6457	2
YDR332W	NA	CAGL0M01276g	NA	KLLA0E17095g	orf19.2798	2
YDR333C	NA	CAGL0M01232g	NA	KLLA0F14817g	orf19.1864	2
YDR334W	NA	CAGL0M01188g	NA	KLLA0F21758g	orf19.1871	2
YDR335W	NA	CAGL0M01144g	NA	KLLA0F21648g	orf19.2665	2
YDR336W	NA	CAGL0M01122g	NA	KLLA0F21626g	orf19.1163	2
YDR337W	NA	CAGL0M01100g	NA	KLLA0F21582g	orf19.2520	2
YOR377W	NA	NA	NA	NA	NA	5
YDR338C	NA	CAGL0M01078g	NA	KLLA0A06952g	orf19.2073	2
YDR339C	NA	CAGL0M01056g	NA	KLLA0A07018g	orf19.3220	2
YDR341C	YHR091C	CAGL0A02189g	CAGL0A01760g	KLLA0A07040g	orf19.3341	0
YDR342C	YHR092C	CAGL0A02211g	CAGL0A01782g	NA	NA	2
YBL085W	YER114C	CAGL0C01881g	CAGL0G03509g	KLLA0E20879g	NA	1
YDR343C	YHR094C	CAGL0A02233g	CAGL0A01804g	NA	orf19.2020	1
YDR346C	NA	CAGL0A02365g	NA	KLLA0D13332g	orf19.6068	2
YDR347W	NA	CAGL0A02387g	NA	KLLA0F22176g	orf19.1662	2
YDR348C	YHR097C	CAGL0A02409g	NA	KLLA0F22154g	orf19.1658	1
YDR349C	NA	CAGL0A02431g	NA	KLLA0F22088g	orf19.6481	2
YDR350C	NA	CAGL0A02475g	NA	KLLA0E21715g	NA	3
YDR351W	YHR103W	CAGL0L11572g	CAGL0A02486g	KLLA0E21671g	NA	1
YDR352W	NA	CAGL0A02508g	NA	KLLA0E21649g	orf19.6950	2
YDR353W	YHR106W	CAGL0I01166g	CAGL0A02530g	KLLA0E21605g	orf19.4290	0
YBL084C	NA	CAGL0C01903g	NA	KLLA0E20857g	orf19.3231	2
YDR354W	NA	CAGL0A02574g	NA	KLLA0E21561g	orf19.3099	2
YDR356W	NA	CAGL0A02596g	NA	KLLA0E21517g	NA	3
YDR357C	NA	CAGL0A02618g	NA	KLLA0E21495g	orf19.3007	2
YDR358W	YHR108W	CAGL0A02629g	NA	KLLA0E21473g	NA	2
YDR359C	NA	CAGL0A02651g	NA	KLLA0E21451g	orf19.3077	2
YDR361C	NA	CAGL0A02673g	NA	KLLA0E21429g	orf19.6346	2
YDR362C	NA	CAGL0A02695g	NA	KLLA0E21341g	orf19.2325	2
YDR363W	NA	CAGL0A02706g	NA	KLLA0E21275g	orf19.2326	2
YDR363W-A	NA	CAGL0A02728g	NA	KLLA0E21231g	orf19.3122.2	2
YDR364C	NA	CAGL0A02772g	NA	KLLA0E21187g	orf19.6347	2
YDR365C	NA	CAGL0L11638g	NA	KLLA0E21165g	orf19.2319	2
YDR367W	NA	CAGL0A02794g	NA	KLLA0E21099g	orf19.2318.1	2
YDR368W	YOR120W	CAGL0I01100g	CAGL0A02816g	NA	NA	2
YDR369C	NA	CAGL0A02838g	NA	KLLA0E02201g	NA	3
YDR370C	NA	CAGL0A02860g	NA	KLLA0E02245g	orf19.639	2
YDR371W	NA	CAGL0A02904g	NA	KLLA0E02333g	orf19.1515	2
YDR372C	NA	CAGL0A02926g	NA	KLLA0E02355g	orf19.1514	2
YDR373W	NA	CAGL0A02948g	NA	KLLA0E02399g	orf19.4726	2
YDR374C	NA	CAGL0A02970g	NA	KLLA0E02443g	orf19.1939	2
YBL082C	NA	CAGL0A04587g	NA	KLLA0E20747g	orf19.1092	2
YDR375C	NA	CAGL0A02992g	NA	KLLA0E02487g	orf19.458	2
YDR376W	NA	CAGL0A03014g	NA	KLLA0E02531g	orf19.3521	2
YDR377W	NA	CAGL0A03036g	NA	KLLA0E02553g	orf19.7509.1	2
YDR378C	NA	CAGL0A03051g	NA	KLLA0E02575g	orf19.7509.2	2
YDR379W	YOR127W	CAGL0A03058g	CAGL0K10318g	KLLA0E02597g	orf19.4593	0
YDR379C-A	NA	CAGL0A03080g	NA	KLLA0E02619g	orf19.4593.1	2
YDR380W	NA	CAGL0A03102g	NA	KLLA0E02707g	orf19.1847	2
YDR381W	NA	CAGL0A03117g	NA	KLLA0E02751g	orf19.5917.3	2
YDR381C-A	NA	CAGL0A03146g	NA	KLLA0E02773g	NA	3
YDR382W	NA	CAGL0A03168g	NA	KLLA0E02861g	orf19.5928	2
YAL056W	YOR371C	CAGL0J07282g	CAGL0L00627g	KLLA0F00374g	NA	1
YBL081W	NA	CAGL0A04631g	NA	KLLA0E20681g	NA	3
YDR383C	NA	CAGL0A03190g	NA	KLLA0E02883g	NA	3
YDR384C	NA	CAGL0A03212g	NA	KLLA0E02905g	NA	3
YIL102C-A	NA	Cgla_YGOB_YIL102C-A	NA	KLLA0E11727g	NA	3
YDR385W	YOR133W	CAGL0A03234g	NA	KLLA0E02993g	NA	2
YDR386W	NA	CAGL0A03256g	NA	KLLA0E03015g	orf19.4206	2
YDR387C	NA	CAGL0M01672g	NA	KLLA0E03037g	NA	3
YDR388W	NA	CAGL0M01650g	NA	KLLA0E03059g	orf19.1220	2
YDR389W	YOR134W	CAGL0M01628g	CAGL0I07249g	KLLA0E03081g	orf19.7115	0
YDR390C	NA	CAGL0M01606g	NA	KLLA0E03103g	orf19.5074	2
YDR392W	NA	CAGL0M01540g	NA	KLLA0E03279g	orf19.7622	2
YBL080C	NA	CAGL0A04653g	NA	KLLA0E20659g	orf19.2494	2
YDR393W	NA	CAGL0M01518g	NA	KLLA0C06512g	orf19.5796	2
YDR394W	NA	CAGL0K09526g	NA	KLLA0C06534g	orf19.5793	2
YDR395W	NA	CAGL0M01496g	NA	KLLA0C06589g	orf19.5834	2
YDR397C	NA	CAGL0M01474g	NA	KLLA0C06611g	orf19.5825	2
YDR398W	NA	CAGL0F02541g	NA	KLLA0C06633g	orf19.7599	2
YDR399W	NA	CAGL0F02563g	NA	KLLA0C06655g	orf19.5832	2
YDR400W	NA	CAGL0F02585g	NA	KLLA0C06721g	orf19.1888	2
YDR402C	NA	CAGL0F02607g	NA	KLLA0C06743g	orf19.554	2
YDR403W	NA	CAGL0F02651g	NA	KLLA0C06765g	orf19.1741	2
YDR404C	NA	CAGL0F02673g	NA	KLLA0C06787g	orf19.3347	2
YBL079W	YER105C	CAGL0G03355g	NA	KLLA0E20615g	orf19.2485	1
YDR405W	NA	CAGL0F02695g	NA	KLLA0B05599g	orf19.3350	2
YDR407C	NA	CAGL0F02739g	NA	KLLA0A02255g	orf19.7604	2
YDR408C	NA	CAGL0F02761g	NA	KLLA0A02211g	orf19.5789	2
YDR409W	YOR156C	CAGL0L04290g	CAGL0F02783g	KLLA0A02189g	orf19.3345	0
YDR410C	NA	CAGL0F02805g	NA	KLLA0A02167g	orf19.119	2
YDR411C	NA	CAGL0F02827g	NA	KLLA0A02101g	orf19.7672	2
YDR412W	NA	CAGL0F02849g	NA	KLLA0A02079g	orf19.5066	2
YDR414C	NA	CAGL0F02871g	NA	KLLA0A02057g	orf19.5065	2
YDR415C	NA	CAGL0F02893g	NA	KLLA0A02013g	orf19.2484	2
YBL078C	NA	CAGL0A04675g	NA	KLLA0E20593g	orf19.2480.1	2
YDR416W	NA	CAGL0F02915g	NA	KLLA0A01969g	orf19.2893	2
YDR418W	YEL054C	CAGL0F02937g	NA	KLLA0A01903g	NA	2
YDR419W	NA	CAGL0F02959g	NA	KLLA0A01848g	orf19.866	2
YDR420W	NA	CAGL0F03003g	NA	KLLA0A01826g	NA	3
YDR421W	NA	CAGL0F03025g	NA	KLLA0A01804g	orf19.3012	2
YDR422C	NA	CAGL0F03047g	NA	NA	orf19.4997	3
YDR424C	NA	CAGL0F03091g	NA	KLLA0B00781g	orf19.1448.1	2
YDR425W	NA	CAGL0F03113g	NA	KLLA0B00803g	orf19.1994	2
YBL076C	NA	CAGL0G03311g	NA	KLLA0E20549g	orf19.2138	2
YDR427W	NA	CAGL0F03135g	NA	KLLA0B00825g	orf19.1993	2
YDR428C	NA	NA	NA	NA	orf19.7237	4
YDR429C	NA	CAGL0H04675g	NA	KLLA0B00847g	orf19.7236	2
YDR430C	NA	CAGL0F03157g	NA	KLLA0B00957g	orf19.7410	2
YDR432W	NA	CAGL0H04763g	NA	KLLA0B00979g	orf19.7238	2
YDR434W	NA	CAGL0F03179g	NA	KLLA0B01045g	NA	3
YDR435C	NA	CAGL0F03201g	NA	KLLA0B01089g	orf19.6377	2
YDR436W	YML016C	CAGL0F03223g	CAGL0H04851g	KLLA0B01111g	NA	1
YDR437W	NA	CAGL0J10604g	NA	KLLA0B01133g	orf19.3557	2
YDR438W	YML018C	CAGL0G07018g	NA	KLLA0B01177g	NA	2
YBL075C	YER103W	CAGL0G03289g	NA	KLLA0E20527g	NA	2
YDR439W	NA	CAGL0J10560g	NA	KLLA0B01221g	NA	3
YDR440W	NA	CAGL0J10516g	NA	KLLA0B01287g	orf19.7402	2
YDR441C	YML022W	CAGL0G07106g	CAGL0J10494g	KLLA0B01309g	NA	1
YDR443C	NA	CAGL0J10472g	NA	KLLA0B01353g	orf19.1451	2
YDR444W	NA	CAGL0M10043g	NA	KLLA0B01375g	NA	3
YDR446W	NA	CAGL0K06127g	NA	KLLA0B01452g	NA	3
YDR447C	YML024W	CAGL0K06149g	NA	KLLA0B01474g	orf19.2329.1	1
YDR448W	NA	CAGL0K06193g	NA	KLLA0B01496g	orf19.2331	2
YDR449C	NA	CAGL0K06215g	NA	KLLA0B01518g	orf19.2330	2
YDR450W	YML026C	CAGL0G07227g	NA	KLLA0B01562g	NA	2
YBL074C	NA	CAGL0A04543g	NA	KLLA0E20505g	NA	3
YDR451C	YML027W	CAGL0G07249g	NA	KLLA0B01584g	NA	2
YDR452W	NA	CAGL0K06237g	NA	KLLA0B01606g	orf19.7016	2
YDR453C	YML028W	CAGL0G07271g	CAGL0K06259g	KLLA0B01628g	NA	1
YDR454C	NA	CAGL0K06281g	NA	KLLA0B01694g	orf19.1115	2
YDR456W	NA	CAGL0G07337g	NA	KLLA0B01738g	orf19.4201	2
YDR457W	NA	CAGL0K06303g	NA	KLLA0B01804g	orf19.5776	2
YDR458C	YML034W	CAGL0G07403g	CAGL0K06325g	KLLA0B01826g	NA	1
YDR459C	NA	CAGL0K06347g	NA	KLLA0D06149g	orf19.4134	2
YDR460W	NA	CAGL0K06369g	NA	KLLA0C14872g	orf19.567	2
YDR462W	NA	CAGL0K06391g	NA	KLLA0C14927g	orf19.397	2
YDR463W	YHR006W	CAGL0K06413g	CAGL0E04312g	KLLA0F10109g	NA	1
YDR464W	NA	CAGL0K06435g	NA	KLLA0E03675g	orf19.4369	2
YDR465C	NA	CAGL0K06457g	NA	KLLA0E03631g	orf19.920	2
YDR466W	NA	CAGL0K06479g	NA	KLLA0E03587g	orf19.1196	2
YDR468C	NA	CAGL0K06501g	NA	KLLA0E03543g	orf19.3898	2
YDR469W	NA	CAGL0K06523g	NA	KLLA0E03521g	orf19.3899	2
YDR470C	NA	CAGL0K06545g	NA	KLLA0E03499g	orf19.3900	2
YDR471W	YHR010W	CAGL0K06567g	NA	KLLA0E03455g	NA	2
YDR472W	NA	CAGL0K06589g	NA	KLLA0E03345g	orf19.7615	2
YBL072C	YER102W	CAGL0A04521g	NA	KLLA0E20461g	NA	2
YDR473C	NA	CAGL0M08976g	NA	KLLA0E09285g	orf19.910	2
YDR475C	YOR019W	CAGL0H08261g	CAGL0M08954g	KLLA0F02684g	orf19.3213	0
YDR476C	NA	CAGL0M08932g	NA	KLLA0F02640g	NA	3
YDR477W	NA	CAGL0M08910g	NA	KLLA0A03806g	orf19.1936	2
YDR478W	NA	CAGL0M08888g	NA	KLLA0A07150g	orf19.1927	2
YDR479C	NA	CAGL0M08866g	NA	KLLA0A07128g	orf19.1933	2
